variant,tau_scale,rep,S_size,S_hit,h_rmse,W_hat,V_hat,W_se,eps_band,n_band,V_se,W_loo,W_true,V_true,V_hat_dev,V_hat_cover,W_hat_dev,W_hat_cover,W_loo_dev,W_loo_cover
screen_split,1.0,36,10,1.0,0.4306824907600571,0.18672031956597018,0.49951171875,0.032760025214021306,0.004480570028481174,67,0.058855059476158794,0.12054491218375087,0.11927378683678294,0.5697479248046875,-0.0702362060546875,1.0,0.06744653272918724,0.0,0.0012711253469679246,1.0
screen_full,1.0,37,10,1.0,0.24294957891354116,0.16301531142879025,0.56494140625,0.02509848111769485,0.0032341151704678274,63,0.05864841553785131,0.12452472195780077,0.11927378683678294,0.5697479248046875,-0.0048065185546875,1.0,0.04374152459200731,1.0,0.005250935121017833,1.0
screen_split,1.0,37,9,1.0,0.38184652363581406,0.20360610075754298,0.5330810546875,0.03488791724989766,0.004567748198640234,60,0.0578149784529335,0.1400009665025093,0.11927378683678294,0.5697479248046875,-0.0366668701171875,1.0,0.08433231392076004,0.0,0.020727179665726347,1.0
screen_full,1.0,38,3,1.0,0.21866647215189688,0.13754486487502615,0.5635986328125,0.022332069115020402,0.0027107948557078864,51,0.05767382130148313,0.10598700877499867,0.11927378683678294,0.5697479248046875,-0.0061492919921875,1.0,0.01827107803824321,1.0,-0.013286778061784271,1.0
screen_split,1.0,38,8,1.0,0.40282636598058513,0.19134255446149118,0.5531005859375,0.03502773670474682,0.004236293466078104,64,0.05985739191677463,0.13341862551717631,0.11927378683678294,0.5697479248046875,-0.0166473388671875,1.0,0.07206876762470824,0.0,0.014144838680393373,1.0
screen_full,1.0,39,10,1.0,0.2674719182091066,0.12658554811652173,0.5140380859375,0.02249533271148781,0.0030619736966742608,59,0.05681327077867253,0.08804976869265072,0.11927378683678294,0.5697479248046875,-0.0557098388671875,1.0,0.007311761279738788,1.0,-0.031224018144132226,1.0
screen_split,1.0,39,10,1.0,0.40797501164581207,0.11592180555512274,0.4351806640625,0.029027849250526597,0.0037967118679183643,77,0.08435260447954364,0.04207570379643186,0.11927378683678294,0.5697479248046875,-0.1345672607421875,1.0,-0.003351981281660199,1.0,-0.07719808304035108,0.0
screen_full,1.0,40,10,1.0,0.2891773021329015,0.16540389004352096,0.546630859375,0.02444677780461991,0.0038765746401067257,63,0.05152738585887895,0.13074691654085813,0.11927378683678294,0.5697479248046875,-0.0231170654296875,1.0,0.04613010320673802,1.0,0.011473129704075186,1.0
screen_split,1.0,40,5,1.0,0.34989828673133294,0.18482554483629063,0.5318603515625,0.03320647565179685,0.004306382783675697,51,0.04797472239081156,0.13362635918341392,0.11927378683678294,0.5697479248046875,-0.0378875732421875,1.0,0.06555175799950769,0.0,0.014352572346630982,1.0
screen_full,1.0,41,9,1.0,0.2996001964014147,0.2234284607159726,0.7083740234375,0.02871873483879015,0.003126311605366483,70,0.07061549730225304,0.18736195579718326,0.11927378683678294,0.5697479248046875,0.1386260986328125,0.0,0.10415467387918967,0.0,0.06808816896040032,0.0
screen_split,1.0,41,10,1.0,0.3929750703066785,0.24583757040406168,0.6502685546875,0.03878693581748469,0.004074132745128019,53,0.06345067586910336,0.18587408230936128,0.11927378683678294,0.5697479248046875,0.0805206298828125,1.0,0.12656378356727874,0.0,0.06660029547257834,1.0
screen_full,1.0,42,10,1.0,0.2995079586401006,0.16760816355768057,0.5390625,0.024040620722470145,0.0036493186694879064,53,0.047384295567277024,0.13518919793317843,0.11927378683678294,0.5697479248046875,-0.0306854248046875,1.0,0.04833437672089763,0.0,0.015915411096395493,1.0
screen_split,1.0,42,8,1.0,0.3504025412359519,0.1915215889982678,0.5140380859375,0.033166632609474105,0.004261576843023565,61,0.05642424052999477,0.12911595387696334,0.11927378683678294,0.5697479248046875,-0.0557098388671875,1.0,0.07224780216148485,0.0,0.0098421670401804,1.0
screen_full,1.0,43,10,1.0,0.3052133412634419,0.1562286253069173,0.47412109375,0.02386386880874734,0.0038756400270493568,58,0.043636090118742914,0.1228512948974918,0.11927378683678294,0.5697479248046875,-0.0956268310546875,0.0,0.036954838470134366,1.0,0.0035775080607088616,1.0
screen_split,1.0,43,10,1.0,0.34324894324123706,0.19470583361763172,0.51953125,0.03350495328657984,0.004457228750286097,50,0.05520415536298389,0.13434178674726682,0.11927378683678294,0.5697479248046875,-0.0502166748046875,1.0,0.07543204678084878,0.0,0.015067999910483881,1.0
screen_full,1.0,44,10,1.0,0.29625665471021606,0.15605998364678092,0.5328369140625,0.023423581173761733,0.0036702057536258477,63,0.050579095088594865,0.12111652665433043,0.11927378683678294,0.5697479248046875,-0.0369110107421875,1.0,0.03678619680999798,1.0,0.001842739817547484,1.0
screen_split,1.0,44,9,1.0,0.3472638932152662,0.13466007670293345,0.471435546875,0.029870723651403742,0.0037743925703023744,67,0.06777844121891564,0.0574377280719071,0.11927378683678294,0.5697479248046875,-0.0983123779296875,1.0,0.01538628986615051,1.0,-0.06183605876487584,0.0
screen_full,1.0,45,10,1.0,0.2579809802173975,0.20028603575780862,0.650146484375,0.027239688226993915,0.0031228764633976047,69,0.06535768567920196,0.162197185557926,0.11927378683678294,0.5697479248046875,0.0803985595703125,1.0,0.08101224892102568,0.0,0.04292339872114306,1.0
screen_split,1.0,45,10,1.0,0.3264582718498414,0.22251966170536475,0.627197265625,0.03830993610420461,0.0037724831831938473,63,0.08216194625349252,0.14362876988195783,0.11927378683678294,0.5697479248046875,0.0574493408203125,1.0,0.1032458748685818,0.0,0.02435498304517489,1.0
screen_full,1.0,46,10,1.0,0.28633274981060336,0.18778028057447463,0.5970458984375,0.026108351525287347,0.00369556749476792,63,0.049568823979346296,0.15177029175806533,0.11927378683678294,0.5697479248046875,0.0272979736328125,1.0,0.06850649373769169,0.0,0.03249650492128239,1.0
screen_split,1.0,46,10,1.0,0.3078833579847246,0.19221981743641087,0.5989990234375,0.034346330091829795,0.003712287871238677,67,0.0725268126001811,0.1177550014779607,0.11927378683678294,0.5697479248046875,0.0292510986328125,1.0,0.07294603059962793,0.0,-0.0015187853588222444,1.0
screen_full,1.0,47,10,1.0,0.2936346841697653,0.15615413810926423,0.5601806640625,0.024315536314863273,0.00324049123784908,69,0.0650021874854994,0.11370775254925033,0.11927378683678294,0.5697479248046875,-0.0095672607421875,1.0,0.03688035127248129,1.0,-0.005566034287532606,1.0
